run,demand_mw,renewable_potential_mw,pre_network_dispatch_down_mw,network_group_dispatch_down_mw,security_backstop_dispatch_down_mw,security_thermal_redispatch_mw,total_network_dispatch_down_mw,total_dispatch_down_mw,renewable_accepted_mw,first_group,activation_sequence,represented_security_pass,all_line_n1_pass,worst_base_loading_pct,worst_n1_loading_pct,worst_n1_monitored_line,worst_n1_outage,planned_outage,estimated_line_losses_mw,calibration_residual_mw,calibrated_total_dispatch_down_mw,calibrated_renewable_accepted_mw,physical_dispatch_down_pct_of_case,calibrated_dispatch_down_pct_of_case
21,1397.092506560281,439.45375476995684,0.0,0.0,0.0,0.0,0.0,0.0,439.45375476995684,,None,True,True,82.7226635546782,82.72266355468008,72512-74512-2,90011-90012-1,Intact,12.977842251621315,87.91979975436534,87.91979975436534,351.5339550155915,0.0,20.006610206434388
22,1037.4714282428083,408.85101470962536,0.0,0.0,0.0,0.0,0.0,0.0,408.85101470962536,,None,True,True,59.75255330216216,95.08715839392607,74011-74511-1,70510-78511-1,Intact,9.018294150072078,90.95039095365772,90.95039095365772,317.9006237559677,0.0,22.24536265814397
23,973.8266454370797,276.0973420028144,0.0,0.0,0.0,0.0,0.0,0.0,276.0973420028144,,None,True,True,77.03628681525568,77.03628681525605,86512-90012-2,75510-75511-1,Intact,7.255310217215945,53.909371454883086,53.909371454883086,222.18797054793131,0.0,19.525494546171167
24,1011.8901714713701,874.0060133682981,0.0,104.5847529521867,0.0,0.0,104.5847529521867,104.5847529521867,769.4212604161114,1.0,G1 → G3,True,True,71.28741869637535,99.99997458684608,76810-87510-1,76810-87510-2,Intact,26.310201950824304,312.4996202650035,417.0843732171902,456.9216401511079,11.966136542828984,47.720995832717996
25,1159.959772403649,561.5243933783196,0.0,0.0,0.0,0.0,0.0,0.0,561.5243933783196,,None,True,False,87.1403714855857,113.50429681087526,74011-74511-1,70510-78511-1,Intact,16.88733514095871,134.75879524418482,134.75879524418482,426.76559813413473,0.0,23.99874285664254
26,1148.4287209305926,662.4698117701124,0.0,0.0,0.0,0.0,0.0,0.0,662.4698117701124,,None,True,False,71.7299074440328,133.6333163408034,74011-74511-1,70510-78511-1,Intact,20.340822732529436,176.90446036527885,176.90446036527885,485.56535140483356,0.0,26.70377686986098
27,1324.2185389144076,161.5521540253837,0.0,0.0,0.0,0.0,0.0,0.0,161.5521540253837,,None,True,True,92.90877723289731,92.90877723290191,74512-88012-2,90011-90012-1,Intact,11.909278147840537,20.456060634271537,20.456060634271537,141.09609339111216,0.0,12.662202344301397
28,1227.637542325972,323.5120623790976,0.0,0.0,0.0,0.0,0.0,0.0,323.5120623790976,,None,True,True,73.874733428467,85.39657016783406,81010-84011-1,84011-90011-1,Intact,10.29220915584012,61.83495103299674,61.83495103299674,261.67711134610084,0.0,19.11364620480128
29,1403.8428383397409,510.7862408990882,0.0,0.0,0.0,0.0,0.0,0.0,510.7862408990882,,None,True,True,71.54394043011138,77.57236876852609,74011-74511-1,70510-78511-1,Intact,14.303345407638693,97.04952035945222,97.04952035945222,413.736720539636,0.0,19.000026349305184
30,1243.4955609485653,704.5536381910078,0.0,21.350863082756067,0.0,0.0,21.350863082756067,21.350863082756067,683.2027751082517,3.0,G3,True,True,78.66643038503439,99.9999892206826,76810-87510-1,76810-87510-2,Intact,25.87582917894919,181.72751650469206,203.07837958744813,501.4752586035597,3.030409882997119,28.823693268956283
