eval_index,temperature,current_dd,best_dd,candidate_dd,delta_dd,accepted,best_update,swap_i,swap_j
1192,0.029836487057054748,8.230945295563846,8.165985780556488,8.230945295563846,-0.0006348249077188228,True,False,233,94
1193,0.029809393816182028,8.230945295563846,8.165985780556488,8.230945295563846,0.0,True,False,204,102
1194,0.029782325177525368,8.230945295563846,8.165985780556488,8.230945295563846,0.0,True,False,44,64
1195,0.029755281118744537,8.230945295563846,8.165985780556488,8.230945295563846,0.0,True,False,220,102
1196,0.02972826161751961,8.230945295563846,8.165985780556488,8.230945295563846,0.0,True,False,12,100
1197,0.02970126665155091,8.230945295563846,8.165985780556488,8.230945295563846,0.0,True,False,89,120
1198,0.029674296198559026,8.230945295563846,8.165985780556488,8.230945295563846,0.0,True,False,184,84
1199,0.029647350236284762,8.230020215996417,8.165985780556488,8.230020215996417,-0.0009250795674287104,True,False,132,99
1200,0.029620428742489137,8.230020215996417,8.165985780556488,8.230020215996417,0.0,True,False,115,197
1201,0.029593531694953386,8.230020215996417,8.165985780556488,8.230020215996417,0.0,True,False,160,232
1202,0.02956665907147889,8.22681212897143,8.165985780556488,8.22681212897143,-0.003208087024987094,True,False,119,232
1203,0.029539810849887212,8.22776305228992,8.165985780556488,8.22776305228992,0.0009509233184896715,True,False,138,201
1204,0.02951298700802003,8.22776305228992,8.165985780556488,8.22776305228992,0.0,True,False,222,126
1205,0.029486187523739164,8.226411744999012,8.165985780556488,8.226411744999012,-0.0013513072909070445,True,False,54,196
1206,0.02945941237492653,8.226411744999012,8.165985780556488,8.226411744999012,0.0,True,False,72,140
1207,0.029432661539484126,8.226411744999012,8.165985780556488,8.226411744999012,0.0,True,False,39,223
1208,0.02940593499533402,8.226411744999012,8.165985780556488,8.226411744999012,0.0,True,False,84,135
1209,0.02937923272041832,8.226411744999012,8.165985780556488,inf,inf,False,False,62,14
1210,0.02935255469269918,8.226411744999012,8.165985780556488,8.226411744999012,0.0,True,False,80,143
1211,0.029325900890158744,8.226411744999012,8.165985780556488,inf,inf,False,False,70,62
1212,0.029299271290799164,8.226411744999012,8.165985780556488,8.226411744999012,0.0,True,False,16,159
1213,0.02927266587264257,8.226411744999012,8.165985780556488,8.226411744999012,0.0,True,False,95,224
